#Strain	Comment
A1026611	Monsanto Technology, LLC, PVP 201100490
A1026616	Monsanto Technology, LLC, PVP 201100498
A1026620	Monsanto Technology, LLC, PVP 201300105
A1026622	Monsanto Technology, LLC, PVP 201100496
A1026649	Monsanto Technology, LLC, PVP 201100495
A1026657	Monsanto Technology, LLC, PVP 201100494
A1026677	Monsanto Technology, LLC, PVP 201100497
A1026729	Monsanto Technology, LLC, PVP 201100491
A1026742	Monsanto Technology, LLC, PVP 201100492
A1026796	Monsanto Technology, LLC, PVP 201100493
A1026809	Monsanto Technology, LLC, PVP 201100489
A1026810	Monsanto Technology, LLC, PVP 201100488
A1026828	Monsanto Technology, LLC, PVP 201100487
A1026832	Monsanto Technology, LLC, PVP 201100486
A1026848	Monsanto Technology, LLC, PVP 201100485
A1026888	Monsanto Technology, LLC, PVP 201100484
A1026903	Monsanto Technology, LLC, PVP 201100483
A1035300	Monsanto Technology, LLC, PVP 201400017
A1035361	Monsanto Technology, LLC, PVP 201300106
A1035362	Monsanto Technology, LLC, PVP 201300107
A1035365	Monsanto Technology, LLC, PVP 201300108
